"num_of_elements","get_updates_ids","get_updates_elems","add_updates","total_updates","rx_bytes","tx_bytes","sum(get_updates_ids,get_updates_elems,add_updates)","avg(sum(get_updates_ids,get_updates_elems,add_updates))","avg(total_updates)","avg(get_updates_ids)","avg(get_updates_elems)","avg(add_updates)"
1000000,299.91,1527.37,4822.62,7485.3,209573757,497830426,6649.9,6649.9,7485.3,299.91,1527.37,4822.62
2000000,315.52,1763.89,5098.3,7970.06,229021013,560976086,7177.71,6913.805,7727.68,307.715,1645.63,4960.46
3000000,336.53,1669.47,4391.45,7532.1,221385447,524049352,6397.45,6741.68666666667,7662.48666666667,317.32,1653.57666666667,4770.79
4000000,325.49,1643.31,4759.87,7572.31,236596257,616902470,6728.67,6738.4325,7639.9425,319.3625,1651.01,4768.06
5000000,577.24,1829.69,4579.41,8085.09,222973584,525887402,6986.34,6788.014,7728.972,370.938,1686.746,4730.33
6000000,453.3,2687.2,4947.93,9923.23,232618727,608291505,8088.43,7004.75,8094.68166666667,384.665,1853.48833333333,4766.59666666667
7000000,316.5,1745.52,4575.58,7590.07,234251297,593409362,6637.6,6952.3,8022.59428571429,374.927142857143,1838.06428571429,4739.30857142857
8000000,333.74,1753.78,4772.01,7873.01,231458939,591371648,6859.53,6940.70375,8003.89625,369.77875,1827.52875,4743.39625
9000000,337.03,1772.88,4859.9,7950.13,229254377,555376263,6969.81,6943.93777777778,7997.92222222222,366.14,1821.45666666667,4756.34111111111
10000000,530.18,2020.21,3100.15,7672.52,223797900,546540753,5650.54,6814.598,7965.382,382.544,1841.332,4590.722
11000000,290.49,2361.28,3197.76,6917.88,227772810,597799745,5849.53,6726.86454545454,7870.15454545455,374.175454545454,1888.6,4464.08909090909
12000000,297,1680.72,4835.26,7693.84,220409772,535809875,6812.98,6734.04083333333,7855.46166666667,367.744166666667,1871.27666666667,4495.02
13000000,343.18,1571.34,4973.77,7990.53,238754502,604686105,6888.29,6745.90615384615,7865.85153846154,365.854615384615,1848.20461538462,4531.84692307692
14000000,308.68,1648.33,4649.59,7842.13,222064772,519895523,6606.6,6735.95571428572,7864.15714285714,361.770714285714,1833.92785714286,4540.25714285714
15000000,284.04,1700.83,4941.22,7865.23,218282288,524007721,6926.09,6748.63133333333,7864.22866666667,356.588666666667,1825.05466666667,4566.988
16000000,322.57,1637.53,5094.56,7946.82,239056298,621900520,7054.66,6767.758125,7869.390625,354.4625,1813.334375,4599.96125
17000000,316.16,1622.75,4679.91,7900.92,230428452,547563143,6618.82,6758.99705882353,7871.24529411765,352.209411764706,1802.12352941176,4604.66411764706
18000000,301.69,1729.57,5056.89,8080.62,235445699,613188547,7088.15,6777.28333333333,7882.87722222222,349.402777777778,1798.09277777778,4629.78777777778
19000000,349.4,1696.09,4775.11,7954.15,227447961,529826775,6820.6,6779.56315789474,7886.62842105263,349.402631578947,1792.72421052632,4637.43631578947
20000000,327.52,1673.55,5040.8,8058.59,234688177,583886011,7041.87,6792.6785,7895.2265,348.3085,1786.7655,4657.6045
21000000,319.21,1649.2,4999.28,7978.99,238679454,621811569,6967.69,6801.01238095238,7899.21523809524,346.922857142857,1780.21476190476,4673.87476190476
22000000,339.99,1727.8,4719.32,7907.66,235761211,556930738,6787.11,6800.38045454545,7899.59909090909,346.607727272727,1777.83227272727,4675.94045454545
23000000,302.94,1663.48,5058.95,7866.88,233793833,613559308,7025.37,6810.16260869565,7898.17652173913,344.709130434782,1772.86043478261,4692.59304347826
24000000,368.11,1704.44,4883.97,8042.46,240438236,621311479,6956.52,6816.26083333333,7904.18833333333,345.684166666667,1770.00958333333,4700.56708333333
25000000,367.01,1642.78,4998.96,8155.13,232939468,541266343,7008.75,6823.9604,7914.226,346.5372,1764.9204,4712.5028
26000000,372.65,1678.04,4942.96,8072.69,239115247,612841623,6993.65,6830.48692307692,7920.32076923077,347.541538461538,1761.57884615385,4721.36653846154
27000000,348.7,1682.57,4878.29,8149.3,243697178,625434834,6909.56,6833.41555555555,7928.80148148148,347.584444444444,1758.65259259259,4727.17851851852
